3,409.000 * log(3,409.000, 2) = 40,005.068
3,408.615 * log(3,408.615, 2) = 40,000.000

Some powers to know (5, 6, 9, 10, 14, 15, 20):
n	2**n		lg(n)
5	    32  	5.0
6	    64  	6.0
9	   512  	9.0
10	 1,024  	10.0
14	16,384  	14.0
15	32,768  	15.0
20	1,048,576  	20.0



0	     1  	0.0
1	     2  	1.0
2	     4  	2.0
3	     8  	3.0
4	    16  	4.0
5	    32  	5.0
6	    64  	6.0
7	   128  	7.0
8	   256  	8.0
9	   512  	9.0
10	 1,024  	10.0
11	 2,048  	11.0
12	 4,096  	12.0
13	 8,192  	13.0
14	16,384  	14.0
15	32,768  	15.0
16	65,536  	16.0
17	131,072  	17.0
18	262,144  	18.0
19	524,288  	19.0
20	1,048,576  	20.0
